"laureate_known_name","laureate_gender","laureate_birth_date","laureate_birth_city","laureate_birth_country","laureate_current_city","laureate_current_country","laureate_continent","laureate_id","laureate_id (Right)","award_year","award_category_name","award_category_full_name","award_sort_order","award_portion","award_date","award_prize_status","award_motivation","award_prize_amount","affiliation_institute_name_then","affiliation_institute_name_now","affiliation_city_then","affiliation_country_then","affiliation_city_now","affiliation_country_now","affiliation_continent"
"Arthur Ashkin","male","1922-09-02","New York, NY","USA","New York, NY","USA","North America","960","960","2018","Physics","The Nobel Prize in Physics","1","1/2","2018-10-02","received","for the optical tweezers and their application to biological systems",9000000,"Bell Laboratories","Bell Laboratories","Holmdel, NJ","USA","Holmdel, NJ","USA","North America"
"Arthur B. McDonald","male","1943-08-29","Sydney, Nova Scotia","Canada","Sydney, Nova Scotia","Canada","North America","920","920","2015","Physics","The Nobel Prize in Physics","2","1/2","2015-10-06","received","for the discovery of neutrino oscillations, which shows that neutrinos have mass",8000000,"Queen's University","Queen's University","Kingston","Canada","Kingston","Canada","North America"
"Arthur H. Compton","male","1892-09-10","Wooster, OH","USA","Wooster, OH","USA","North America","33","33","1927","Physics","The Nobel Prize in Physics","1","1/2","1927-11-10","received","for his discovery of the effect named after him",126501,"University of Chicago","University of Chicago","Chicago, IL","USA","Chicago, IL","USA","North America"
"Arthur Harden","male","1865-10-12","Manchester","United Kingdom","Manchester","United Kingdom","Europe","186","186","1929","Chemistry","The Nobel Prize in Chemistry","1","1/2","1929-11-12","received","for their investigations on the fermentation of sugar and fermentative enzymes",172760,"London University","London University","London","United Kingdom","London","United Kingdom","Europe"
"Arthur Henderson","male","1863-09-13","Glasgow","Scotland","Glasgow","Scotland","Europe","499","499","1934","Peace","The Nobel Peace Prize","1","1","1934-12-10","received","for his untiring struggle and his courageous efforts as Chairman of the League of Nations Disarmament Conference 1931-34",162608,,,,,,,
"Arthur Kornberg","male","1918-03-03","Brooklyn, NY","USA","Brooklyn, NY","USA","North America","368","368","1959","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","2","1/2","1959-10-15","received","for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid",220678,"Stanford University","Stanford University","Stanford, CA","USA","Stanford, CA","USA","North America"
"Arthur L. Schawlow","male","1921-05-05","Mount Vernon, NY","USA","Mount Vernon, NY","USA","North America","119","119","1981","Physics","The Nobel Prize in Physics","2","1/4","1981-10-19","received","for their contribution to the development of laser spectroscopy",1000000,"Stanford University","Stanford University","Stanford, CA","USA","Stanford, CA","USA","North America"
"Artturi Virtanen","male","1895-01-15","Helsinki","Russian Empire","Helsinki","Finland","Europe","203","203","1945","Chemistry","The Nobel Prize in Chemistry","1","1","1945-11-15","received","for his research and inventions in agricultural and nutrition chemistry, especially for his fodder preservation method",121333,"University of Helsinki","University of Helsinki","Helsinki","Finland","Helsinki","Finland","Europe"
"Arvid Carlsson","male","1923-01-25","Uppsala","Sweden","Uppsala","Sweden","Europe","722","722","2000","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","1","1/3","2000-10-09","received","for their discoveries concerning signal transduction in the nervous system",9000000,"Göteborg University","Göteborg University","Gothenburg","Sweden","Gothenburg","Sweden","Europe"
"August Krogh","male","1874-11-15","Gren?","Denmark","Gren?","Denmark","Europe","310","310","1920","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","1","1","1920-10-28","received","for his discovery of the capillary motor regulating mechanism",134100,"Copenhagen University","Copenhagen University","Copenhagen","Denmark","Copenhagen","Denmark","Europe"
"Auguste Beernaert","male","1829-07-26","Ostend","Belgium","Ostend","Belgium","Europe","475","475","1909","Peace","The Nobel Peace Prize","1","1/2","1909-12-10","received","for their prominent position in the international movement for peace and arbitration",139800,,,,,,,
"Aung San Suu Kyi","female","1945-06-19","Rangoon","Burma","Yangon","Myanmar","Asia","553","553","1991","Peace","The Nobel Peace Prize","1","1","1991-10-14","received","for her non-violent struggle for democracy and human rights",6000000,,,,,,,
"Avram Hershko","male","1937-12-31","Karcag","Hungary","Karcag","Hungary","Europe","780","780","2004","Chemistry","The Nobel Prize in Chemistry","2","1/3","2004-10-06","received","for the discovery of ubiquitin-mediated protein degradation",10000000,"Technion - Israel Institute of Technology","Technion - Israel Institute of Technology","Haifa","Israel","Haifa","Israel","Asia"
"Aziz Sancar","male","1946-09-08","Savur","Turkey","Savur","Turkey","Asia","923","923","2015","Chemistry","The Nobel Prize in Chemistry","3","1/3","2015-10-07","received","for mechanistic studies of DNA repair",8000000,"University of North Carolina","University of North Carolina","Chapel Hill, NC","USA","Chapel Hill, NC","USA","North America"
"Barack H. Obama","male","1961-08-04","Honolulu, HI","USA","Honolulu, HI","USA","North America","845","845","2009","Peace","The Nobel Peace Prize","1","1","2009-10-09","received","for his extraordinary efforts to strengthen international diplomacy and cooperation between peoples",10000000,,,,,,,
"Barbara McClintock","female","1902-06-16","Hartford, CT","USA","Hartford, CT","USA","North America","428","428","1983","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","1","1","1983-10-10","received","for her discovery of mobile genetic elements",1500000,"Cold Spring Harbor Laboratory","Cold Spring Harbor Laboratory","Cold Spring Harbor, NY","USA","Cold Spring Harbor, NY","USA","North America"
"Barry C. Barish","male","1936-01-27","Omaha, NE","USA","Omaha, NE","USA","North America","942","942","2017","Physics","The Nobel Prize in Physics","2","1/4","2017-10-03","received","for decisive contributions to the LIGO detector and the observation of gravitational waves",9000000,"LIGO/VIRGO Collaboration","LIGO/VIRGO Collaboration",,,,,
"Barry C. Barish","male","1936-01-27","Omaha, NE","USA","Omaha, NE","USA","North America","942","942","2017","Physics","The Nobel Prize in Physics","2","1/4","2017-10-03","received","for decisive contributions to the LIGO detector and the observation of gravitational waves",9000000,"California Institute of Technology (Caltech)","California Institute of Technology (Caltech)","Pasadena, CA","USA","Pasadena, CA","USA","North America"
"Barry J. Marshall","male","1951-09-30","Kalgoorlie","Australia","Kalgoorlie","Australia","Oceania","789","789","2005","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","1","1/2","2005-10-03","received","for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease",10000000,"NHMRC Helicobacter pylori Research Laboratory, QEII Medical Centre","NHMRC Helicobacter pylori Research Laboratory, QEII Medical Centre","Nedlands","Australia","Nedlands","Australia","Oceania"
"Barry J. Marshall","male","1951-09-30","Kalgoorlie","Australia","Kalgoorlie","Australia","Oceania","789","789","2005","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","1","1/2","2005-10-03","received","for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease",10000000,"University of Western Australia","University of Western Australia","Perth","Australia","Perth","Australia","Oceania"
"Baruch S. Blumberg","male","1925-07-28","New York, NY","USA","New York, NY","USA","North America","409","409","1976","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","1","1/2","1976-10-14","received","for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases",681000,"The Institute for Cancer Research","The Institute for Cancer Research","Philadelphia, PA","USA","Philadelphia, PA","USA","North America"
"Baruj Benacerraf","male","1920-10-29","Caracas","Venezuela","Caracas","Venezuela","South America","419","419","1980","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","1","1/3","1980-10-10","received","for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions",880000,"Harvard Medical School","Harvard Medical School","Boston, MA","USA","Boston, MA","USA","North America"
"Ben Bernanke","male","1953-12-13","Augusta, GA","USA","Augusta, GA","USA","North America","1021","1021","2022","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel","1","1/3","2011-10-10","received","for research on banks and financial crises",10000000,"The Brookings Institution","The Brookings Institution","Washington, D.C.","USA","Washington, D.C.","USA","North America"
"Ben R. Mottelson","male","1926-07-09","Chicago, IL","USA","Chicago, IL","USA","North America","103","103","1975","Physics","The Nobel Prize in Physics","2","1/3","1975-10-17","received","for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection",630000,"Nordita","Nordita","Copenhagen","Denmark","Copenhagen","Denmark","Europe"
"Bengt Holmström","male","1949-04-18","Helsinki","Finland","Helsinki","Finland","Europe","936","936","2016","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel","2","1/2","2016-10-10","received","for their contributions to contract theory",8000000,"Massachusetts Institute of Technology (MIT)","Massachusetts Institute of Technology (MIT)","Cambridge, MA","USA","Cambridge, MA","USA","North America"
"Bengt I. Samuelsson","male","1934-05-21","Halmstad","Sweden","Halmstad","Sweden","Europe","426","426","1982","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","2","1/3","1982-10-11","received","for their discoveries concerning prostaglandins and related biologically active substances",1150000,"Karolinska Institutet","Karolinska Institutet","Stockholm","Sweden","Stockholm","Sweden","Europe"
"Benjamin List","male","1968-01-11","Frankfurt-on-the-Main","Germany","Frankfurt-on-the-Main","Germany","Europe","1002","1002","2021","Chemistry","The Nobel Prize in Chemistry","1","1/2","2021-10-06","received","for the development of asymmetric organocatalysis",10000000,"Max-Planck-Institut für Kohlenforschung","Max-Planck-Institut für Kohlenforschung","Mülheim an der Ruhr","Germany","Mülheim an der Ruhr","Germany","Europe"
